"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1586","TK_08 - Kiểm tra tìm kiếm với từ khoá để trống","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","0","test_login_with_invalid_data[chromium-DN_04]","tests","2026-06-16","broken","2026-06-16","","test_login","",""
"","3172","TK_01 - Kiểm tra kết quả tìm kiếm liên quan đến từ khoá tìm kiếm","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","0","DK_01 - Đăng ký với thông tin hợp lệ","tests","2026-06-16","broken","2026-06-16","","test_register","",""
"","2163","TK_04 - Kiểm tra tìm kiếm với từ khoá chỉ chứa chữ số","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","3166","DN_08 - Đăng nhập thất bại với mật khẩu có khoảng trắng ở đầu","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2361","DN_05 - Đăng nhập thất bại với mật khẩu để trống","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2597","DK_05 - Đăng ký thất bại với email sai định dạng","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","7842","DK_09 - Đăng ký thất bại với mật khẩu thiếu ký tự in hoa","tests","2026-06-16","failed","2026-06-16","","test_register","",""
"","2778","DK_04 - Đăng ký với trường email bỏ trống","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","2929","DK_11 - Đăng ký thất bại với Họ và tên không hợp lệ, chỉ gồm 1 từ","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","2959","DN_07 - Đăng nhập thất bại với mật khẩu sai do phân biệt chữ thường và chữ in hoa","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2421","DN_06 - Đăng nhập thất bại với mật khẩu sai","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2948","TK_09 - Kiểm tra tìm kiếm với từ khoá chứa cả chữ lẫn số","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","2312","TK_10 - Kiểm tra tìm kiếm với từ khoá lớn hơn 100 kí tự","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","7612","DK_12 - Đăng ký thất bại với Họ và tên không hợp lệ, chỉ chứa chữ số","tests","2026-06-16","failed","2026-06-16","","test_register","",""
"","2864","DK_13 - Đăng ký thất bại với Họ và tên không hợp lệ, chứa kí tự đặc biệt","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","0","test_login_with_invalid_data[chromium-DN_10]","tests","2026-06-16","broken","2026-06-16","","test_login","",""
"","2716","DK_08 - Đăng ký thất bại với mật khẩu ít hơn 6 ký tự","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","3338","DK_02 - Đăng ký với email đã tồn tại","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","2197","TK_07 - Kiểm tra tìm kiếm với từ khoá tiếng Việt không dấu","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","2508","DK_07 - Đăng ký thất bại với mật khẩu để trống","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","2636","TK_03 - Kiểm tra tìm kiếm với kí tự đặc biệt","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","7939","DN_02 - Đăng nhập với email chưa đăng ký","tests","2026-06-16","failed","2026-06-16","","test_login","",""
"","5126","DN_01 - Đăng nhập với tài khoản hợp lệ","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2153","TK_02 - Kiểm tra tìm kiếm với từ khoá không tồn tại","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","3562","TK_05 - Kiểm tra tìm kiếm với từ khoá chứa khoảng trắng ở đầu","tests","2026-06-16","passed","2026-06-16","","test_search","",""
"","1643","DK_03 - Đăng ký với tất cả các trường bỏ trống","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","3006","DK_10 - Đăng ký thất bại với mật khẩu chứa khoảng trắng","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","2576","DN_03 - Đăng nhập thất bại với email sai định dạng","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2557","DN_09 - Đăng nhập thất bại với email và mật khẩu để trống","tests","2026-06-16","passed","2026-06-16","","test_login","",""
"","2485","DK_06 - Đăng ký thất bại với email chứa khoảng trắng ở đầu","tests","2026-06-16","passed","2026-06-16","","test_register","",""
"","3780","TK_06 - Kiểm tra tìm kiếm với từ khoá chứa khoảng trắng ở giữa","tests","2026-06-16","passed","2026-06-16","","test_search","",""
